Disease;;disease;;species;;geo gistribution string;;scoping >=1970;scoping >=1990;scoping >=2000;Notes on search sdjustments;Suggested final
African swine fever*;TITLE-ABS-KEY (;(“African swine fever” OR “Warthog disease”);AND;(Pig OR Hog OR Suis OR Suidae OR Tayassuidae OR peccary OR javelina );AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;;
African horse sickness*;TITLE-ABS-KEY (;(“African horse sickness” OR “Pestis Equorum” Or “Peste Equina”);AND;(Ass OR Donkey OR Equus OR Horse OR equine OR equid);AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;;
Foot and Mouth;TITLE-ABS-KEY (;(“Foot and mouth disease” OR “foot and mouth virus” OR FMD);AND;(Buffalo OR Bubalus OR Cattle OR Cow OR Bovine OR Bos OR Yak OR Goat OR Capra OR caprine OR Sheep OR Ovis or Ovine OR Camel or Camelid OR Dromedary OR Alpaca OR Vicugna OR Llama OR Lama OR Vicuna OR Vicuña OR Deer OR Cervidae OR Bison OR Gazella OR Gazelle OR “Syncerus caffer” OR “African buffalo” OR “Cape buffalo” OR Proboscidea OR elephant OR Elephantidae OR Pig OR Hog OR Suis OR Suidae OR Tayassuidae OR peccary OR javelina);AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;;
HPAI;TITLE-ABS-KEY (;(“Highly pathogenic avian influenza” OR “HPAI”);AND;(Chicken* OR Gallus OR Hen OR Avian OR Gallina* OR Turkey* OR Meleagridis OR Duck* OR Anatidae OR Pigeon* OR Columbidae OR Parrot* OR Psittacidae OR Parakeet* OR Psittaculidae OR Ostrich* OR Struthio OR ”Bird of prey” OR ”Birds of prey” OR Tytonidae OR Strigidae OR Cathartidae OR Sagittariidae OR Pandionidae OR Accipitridae OR Falconidade OR raptor* OR Falconiform* OR Strigiform* OR owl* OR vultur* OR falcon* OR hawk* OR eagle* OR raptor* OR osprey* OR kite* OR buzzard OR harrier* OR caracara*);AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;;
Lumpy skin;TITLE-ABS-KEY (;"(""lumpy skin"")";AND;(Buffalo OR Bubalus OR Cattle OR Cow OR Bovine OR Bos OR Yak OR Goat OR Capra OR caprine OR Sheep OR Ovis or Ovine OR Camel or Camelid OR Dromedary OR Alpaca OR Vicugna OR Llama OR Lama OR Vicuna OR Vicuña OR Deer OR Cervidae OR Bison OR Gazella OR Gazelle OR “Syncerus caffer” OR “African buffalo” OR “Cape buffalo” OR Tayassuidae OR peccary OR javelina OR Proboscidea OR elephant OR Elephantidae);AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;kept all ruminants;
Alkhurma haemorrhagic fever virus;TITLE-ABS-KEY (;"(“Alkhurma haemorrhagic fever” OR “Alkhurma hemorrhagic fever” OR ""Alkhurma virus"")";AND;(Buffalo OR Bubalus OR Cattle OR Cow OR Bovine OR Bos OR Yak OR Goat OR Capra OR caprine OR Sheep OR Ovis or Ovine OR Camel or Camelid OR Dromedary OR Alpaca OR Vicugna OR Llama OR Lama OR Vicuna OR Vicuña OR Deer OR Cervidae OR Bison OR Gazella OR Gazelle OR “Syncerus caffer” OR “African buffalo” OR “Cape buffalo” OR Tayassuidae OR peccary OR javelina OR Proboscidea OR elephant OR Elephantidae);AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;kept all ruminants;
Aino virus;TITLE-ABS-KEY (;"(""Aino virus"" OR ""Aino disease"")";;;AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;not restricted to hosts;
Akabane virus;TITLE-ABS-KEY (;"(""Akabane virus"")";;;AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;not restricted to hosts;
Bovine ephemeral fever virus;TITLE-ABS-KEY (;"(”Bovine ephemeral fever” OR “Bovine Epizootic Fever” OR ""Three Day Sickness"" OR  ""Ephemeral Fever"" OR ""Three-Day Sickness"" OR ""Three-Day Stiffsickness"" OR ""Dragon Boat Disease"" OR ""Lazy Man’s Disease"" OR ""Dengue of Cattle"")";AND;(Buffalo OR Bubalus OR Cattle OR Cow OR Bovine OR Bos OR Yak OR Goat OR Capra OR caprine OR Sheep OR Ovis or Ovine OR Camel or Camelid OR Dromedary OR Alpaca OR Vicugna OR Llama OR Lama OR Vicuna OR Vicuña OR Deer OR Cervidae OR Bison OR Gazella OR Gazelle OR “Syncerus caffer” OR “African buffalo” OR “Cape buffalo” OR Tayassuidae OR peccary OR javelina OR Proboscidea OR elephant OR Elephantidae);AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;kept all ruminants;
Bhanja virus;TITLE-ABS-KEY (;"(""Bhanja virus"")";;;AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;not restricted to hosts;
Bluetongue virus;TITLE-ABS-KEY (;(Bluetongue OR “Psuedo Foot and mouth disease” );AND;(Buffalo OR Bubalus OR Cattle OR Cow OR Bovine OR Bos OR Yak OR Goat OR Capra OR caprine OR Sheep OR Ovis or Ovine OR Camel or Camelid OR Dromedary OR Alpaca OR Vicugna OR Llama OR Lama OR Vicuna OR Vicuña OR Deer OR Cervidae OR Bison OR Gazella OR Gazelle OR “Syncerus caffer” OR “African buffalo” OR “Cape buffalo” OR Tayassuidae OR peccary OR javelina OR Proboscidea OR elephant OR Elephantidae);AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;kept all ruminants;
Crimean-Congo haemorrhagic fever virus;TITLE-ABS-KEY (;(“Crimean Congo haemorrhagic fever” OR “Crimean Congo hemorrhagic fever” OR “Crimean-Congo haemorrhagic fever” OR “Crimean-Congo hemorrhagic fever” OR “Congo Fever” OR “Cache Valley”);;;AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;not restricted to hosts;
Bunyamwera virus;TITLE-ABS-KEY (;"(""Bunyamwera virus"" OR ""Bunyamwera orthobunyavirus"")";;;AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;not restricted to hosts;
Eastern equine encephalitis virus;TITLE-ABS-KEY (;(“equineencephalomyelitis” OR “equineencephalitis” OR “Eastern encephalitis” OR “Western encephalitis”);AND;(Human OR Homo OR Donkey OR Equus OR Horse OR Zebra OR Chicken* OR Gallus OR Hen OR Avian OR Gallina* OR Turkey* OR Meleagridis OR Duck* OR Anatidae OR Pigeon* OR Columbidae OR Parrot* OR Psittacidae OR Parakeet* OR Psittaculidae OR Ostrich* OR Struthio OR ”Bird of prey” OR ”Birds of prey” OR Tytonidae OR Strigidae OR Cathartidae OR Sagittariidae OR Pandionidae OR Accipitridae OR Falconidade OR raptor* OR Falconiform* OR Strigiform* OR owl* OR vultur* OR falcon* OR hawk* OR eagle* OR raptor* OR osprey* OR kite* OR buzzard OR harrier* OR caracara*);AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;humans, equine OR equid and all bird species;
Western equine encephalitis virus;TITLE-ABS-KEY (;(“equineencephalitis” OR “Western encephalitis”);AND;;AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;;
equine encephalosis virus;TITLE-ABS-KEY (;(“equineencephalosis”);AND;(Ass OR Donkey OR Equus OR Horse OR equine OR equid OR Zebra);AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;;
Epizootic hemorrhagic disease virus;TITLE-ABS-KEY (;(“Epizootic haemorrhagic disease” OR ”Epizootic hemorrhagic disease” OR “Ibaraki disease” OR “Epizootic haemorrhagic virus” OR ”Epizootic hemorrhagic virus” );AND;(Buffalo OR Bubalus OR Cattle OR Cow OR Bovine OR Bos OR Yak OR Goat OR Capra OR caprine OR Sheep OR Ovis or Ovine OR Camel or Camelid OR Dromedary OR Alpaca OR Vicugna OR Llama OR Lama OR Vicuna OR Vicuña OR Deer OR Cervidae OR Bison OR Gazella OR Gazelle OR “Syncerus caffer” OR “African buffalo” OR “Cape buffalo” OR Tayassuidae OR peccary OR javelina OR Proboscidea OR elephant OR Elephantidae);AND;;)  AND  ( PUBYEAR AFT 1970) ;;;;kept all ruminants;
